"Object";"Program";"Line";"Status";"RPO"
"CRMSELLERCUSTOMERCONTACT_ARRAYOFPHONEVIEW";"WSCLIENT_WSCRMSELLERCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMSELLERCUSTOMERCONTACT_ARRAYOFUSERFIELD";"WSCLIENT_WSCRMSELLERCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMSELLERCUSTOMERCONTACT_BRWHEADER";"WSCLIENT_WSCRMSELLERCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMSELLERCUSTOMERCONTACT_CONTACTVIEW";"WSCLIENT_WSCRMSELLERCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMSELLERCUSTOMERCONTACT_GENERICSTRUCT";"WSCLIENT_WSCRMSELLERCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMSELLERCUSTOMERCONTACT_GENERICVIEW";"WSCLIENT_WSCRMSELLERCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMSELLERCUSTOMERCONTACT_PHONEVIEW";"WSCLIENT_WSCRMSELLERCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CRMSELLERCUSTOMERCONTACT_USERFIELD";"WSCLIENT_WSCRMSELLERCUSTOMERCONTACT.PRX";"0";"Prod";"Default"
"CUSTOM.COMPRAS.IMPORTACIONES.INTEGRATEDPROVIDER.IMPORTACIONESTREPORTSBUSINESSOBJECT";"BACKOFFICE.SV.MAT.IMPORTS.TLPP";"0";"Prod";"Default"
"CUSTOM.COMPRAS.PC.INTEGRATEDPROVIDER.SC7TREPORTSBUSINESSOBJECT";"PROVPC110.TLPP";"0";"Prod";"Default"
"CUSTOM.COMPRAS.PURCHASESLIST.INTEGRATEDPROVIDER.CAMPOSIMP";"BACKOFFICE.SV.COM.PURCHASESLIST_MEX.TLPP";"266";"Prod";"Default"
"CUSTOM.COMPRAS.PURCHASESLIST.INTEGRATEDPROVIDER.GETCOINS";"BACKOFFICE.SV.COM.PURCHASESLIST.TLPP";"426";"Prod";"Default"
"CUSTOM.COMPRAS.PURCHASESLIST.INTEGRATEDPROVIDER.GETSTRUCT1";"BACKOFFICE.SV.COM.PURCHASESLIST.TLPP";"377";"Prod";"Default"
"CUSTOM.COMPRAS.PURCHASESLIST.INTEGRATEDPROVIDER.IMPCOMPRAS";"BACKOFFICE.SV.COM.PURCHASESLIST_MEX.TLPP";"85";"Prod";"Default"
"CUSTOM.COMPRAS.PURCHASESLIST.INTEGRATEDPROVIDER.PURCHASESLISTTREPORTSBUSINESSOBJECT";"BACKOFFICE.SV.COM.PURCHASESLIST.TLPP";"0";"Prod";"Default"
"CUSTOM.COMPRAS.PURCHASESLIST.INTEGRATEDPROVIDER.PURCHASESLISTTREPORTSBUSINESSOBJECTMEX";"BACKOFFICE.SV.COM.PURCHASESLIST_MEX.TLPP";"0";"Prod";"Default"
"CUSTOM.FATURAMENTO.MOVSENTRADASALIDA.INTEGRATEDPROVIDER.MOVSENTRADASALIDATREPORTSBUSINESSOBJECT";"BACKOFFICE.SV.FAT.FINANCIALMOVEMENTS.TLPP";"0";"Prod";"Default"
"CUSTOM.FATURAMENTO.PURCHASEORDERMI.INTEGRATEDPROVIDER.PURCHASEORDERMITREPORTSBUSINESSOBJECT";"BACKOFFICE.SV.COM.PURCHASEORDERMI.TLPP";"0";"Prod";"Default"
"CUSTOM.FATURAMENTO.SALESORDER.INTEGRATEDPROVIDER.SALESORDERTREPORTSBUSINESSOBJECT";"BACKOFFICE.SV.FAT.SALESORDER.TLPP";"0";"Prod";"Default"
"CUSTOM.FINANCEIRO.ACCOUNTSPAYABLE.INTEGRATEDPROVIDER.ACCOUNTSPAYABLETREPORTSBUSINESSOBJECT";"BACKOFFICE.SV.FIN.ACCOUNTSPAYABLE.TLPP";"0";"Prod";"Default"
"CUSTOM.FINANCEIRO.CHEQUES.INTEGRATEDPROVIDER.CHEQUESTREPORTSBUSINESSOBJECT";"BACKOFFICE.SV.FIN.CHEQUES.TLPP";"0";"Prod";"Default"
"CUSTOM.FINANCEIRO.CUENTASPORCOBRAR.INTEGRATEDPROVIDER.ACCOUNTSRECEIVABLEPENDINGTREPORTSBUSINESSOBJECT";"BACKOFFICE.SV.FIN.ACCOUNTSRECEIVABLEPENDING.TLPP";"0";"Prod";"Default"
"CUSTOM.FINANCEIRO.CUENTASPORCOBRAR.INTEGRATEDPROVIDER.ACCOUNTSRECEIVABLETREPORTSBUSINESSOBJECT";"BACKOFFICE.SV.FIN.ACCOUNTSRECEIVABLE.TLPP";"0";"Prod";"Default"
"CUSTOM.FINANCEIRO.ORDENESPAGO.INTEGRATEDPROVIDER.ORDENESPAGOTREPORTSBUSINESSOBJECT";"BACKOFFICE.SV.FIN.PAYMENTORDER.TLPP";"0";"Prod";"Default"
"CUSTOM.FINANCEIRO.PREORDENPAGO.INTEGRATEDPROVIDER.PREORDENPAGOTREPORTSBUSINESSOBJECT";"BACKOFFICE.SV.FIN.PREORDER.TLPP";"0";"Prod";"Default"
"CUSTOM.FISCAL.FINANCIALSETTLEMENTS_PAR.INTEGRATEDPROVIDER.FINANCIALSETTLEMENTS_PARTREPORTSBUSINESSOBJECT";"BACKOFFICE.SV.FIS.FINANCIALSETTLEMENTS_PAR.TLPP";"0";"Prod";"Default"
"CUSTOM.FISCAL.LIBROVENTAS_ARG.INTEGRATEDPROVIDER.LIBROVENTAS_ARGTREPORTSBUSINESSOBJECT";"BACKOFFICE.SV.FIS.PURCHASESSALES.TLPP";"0";"Prod";"Default"
"CUSTOMERVIEW";"WSMATSTRUCT.PRX";"0";"Prod";"Default"
"DMS_PMPROBODCUSTOMSEARCHCRITERIA";"VEICLSAX.PRW";"0";"Prod";"Default"
"DMS_PMPROCUSTOMER";"VEICLSAX.PRW";"0";"Prod";"Default"
"DMS_PMPROGETCUSTOMERSEARCH";"VEICLSAX.PRW";"0";"Prod";"Default"
"DMS_PMPROGETSUPORTEDCUSTOMERSEARCH";"VEICLSAX.PRW";"0";"Prod";"Default"
"ESTOQUE.PRODUCAO.CUSTEIO.U_AJUSTACUSTOEMPARTECAIXADEPRECIACAO";"ESTOQUE.PRODUCAO.CUSTEIO.AJUSTACUSTOEMPARTECAIXADEPRECIACAO.TLPP";"88";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_APONTAORDEMPRODUCAO";"ESTOQUE.PRODUCAO.CUSTEIO.APONTAORDEMPRODUCAO.TLPP";"53";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_APONTAORDEMPRODUCAOANTAS";"ESTOQUE.PRODUCAO.CUSTEIO.APONTAORDEMPRODUCAOANTAS.TLPP";"40";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_BLOQUEIASEQUENCIALANCAMENTOPADRAO";"ESTOQUE.PRODUCAO.CUSTEIO.BLOQUEIASEQUENCIALANCAMENTOPADRAO.TLPP";"44";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_CALCULOCUSTOMAODEOBRA";"ESTOQUE.PRODUCAO.CUSTEIO.CALCULOCUSTOMAODEOBRA.TLPP";"95";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_CRIAORDEMPRODUCAO";"ESTOQUE.PRODUCAO.CUSTEIO.CRIAORDEMPRODUCAO.TLPP";"47";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_DESBLOQUEIASEQUENCIALANCAMENTOPADRAO";"ESTOQUE.PRODUCAO.CUSTEIO.DESBLOQUEIASEQUENCIALANCAMENTOPADRAO.TLPP";"44";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_ESTORNAAPONTAMENTOPRODUCAO";"ESTOQUE.PRODUCAO.CUSTEIO.ESTORNAAPONTAMENTOPRODUCAO.TLPP";"54";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_ESTORNAREQUISICAOINTERNA";"ESTOQUE.PRODUCAO.CUSTEIO.ESTORNAREQUISICAOINTERNA.TLPP";"53";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_ESTORNATRANSFERENCIAARMAZEN";"ESTOQUE.PRODUCAO.CUSTEIO.ESTORNATRANSFERENCIAARMAZEN.TLPP";"54";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_EXCLUIDOCUMENTOCPV";"ESTOQUE.PRODUCAO.CUSTEIO.EXCLUIDOCUMENTOCPV.TLPP";"53";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_EXCLUIORDEMPRODUCAO";"ESTOQUE.PRODUCAO.CUSTEIO.EXCLUIORDEMPRODUCAO.TLPP";"54";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_EXCLUIPEDIDODEVENDASCPV";"ESTOQUE.PRODUCAO.CUSTEIO.EXCLUIPEDIDODEVENDASCPV.TLPP";"54";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_GERADOCUMENTOVENDAPORTO";"ESTOQUE.PRODUCAO.CUSTEIO.GERADOCUMENTOVENDAPORTO.TLPP";"52";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_GERAORDEMPRODUCAOANTAS";"ESTOQUE.PRODUCAO.CUSTEIO.GERAORDEMPRODUCAOANTAS.TLPP";"33";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_GERAPEDIDOVENDAPORTO";"ESTOQUE.PRODUCAO.CUSTEIO.GERAPEDIDOVENDAPORTO.TLPP";"54";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_GERAREQUISICAOINTERNA";"ESTOQUE.PRODUCAO.CUSTEIO.GERAREQUISICAOINTERNA.TLPP";"51";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_GERATRANSFERENCIAENTREARMAZENS";"ESTOQUE.PRODUCAO.CUSTEIO.GERATRANSFERENCIAENTREARMAZENS.TLPP";"51";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_GRAVACTACONTABILTRANFERENCIAARMAZEN";"ESTOQUE.PRODUCAO.CUSTEIO.GRAVACTACONTABILTRANFERENCIAARMAZEN.TLPP";"74";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_GRAVAINFORMACAOCONTABIL";"ESTOQUE.PRODUCAO.CUSTEIO.GRAVAINFORMACAOCONTABIL.TLPP";"77";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_GRAVALOTECONTABILDOCUSTEIO";"ESTOQUE.PRODUCAO.CUSTEIO.GRAVALOTECONTABILDOCUSTEIO.TLPP";"39";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_GRAVAOPERACAOCUSTOCAIXADEPRECIACAO";"ESTOQUE.PRODUCAO.CUSTEIO.GRAVAOPERACAOCUSTOCAIXADEPRECIACAO.TLPP";"86";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_JOBGRAVAINFORMACAOCONTABIL";"ESTOQUE.PRODUCAO.CUSTEIO.JOBGRAVAINFORMACAOCONTABIL.TLPP";"87";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_MANUTENCAOTABELATEMPORARIA";"ESTOQUE.PRODUCAO.CUSTEIO.MANUTENCAOTABELATEMPORARIA.TLPP";"33";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_RETORNALOTECONTABILDOCUSTEIO";"ESTOQUE.PRODUCAO.CUSTEIO.RETORNALOTECONTABILDOCUSTEIO.TLPP";"33";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_SALDOFINALCUSTOEMPARTES";"ESTOQUE.PRODUCAO.CUSTEIO.SALDOFINALCUSTOEMPARTES.TLPP";"24";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_SCHEDULEGRAVAINFORMACAOCONTABIL";"ESTOQUE.PRODUCAO.CUSTEIO.JOBGRAVAINFORMACAOCONTABIL.TLPP";"151";"NoAuth";"Custom"
"ESTOQUE.PRODUCAO.CUSTEIO.U_ZERASALDOCUSTOEMPARTES";"ESTOQUE.PRODUCAO.CUSTEIO.ZERASALDOCUSTOEMPARTES.TLPP";"34";"NoAuth";"Custom"
"EXISTBUSOBJ";"FWSMARTVIEWCUSTOMSERVICE.PRW";"323";"Prod";"Default"
"FINANCECUSTOMERBILL";"WSADM010.PRX";"0";"Prod";"Default"
"FINANCECUSTOMERBILL_ARRAYOFBILLVIEW";"WSCLIENT_WSFINANCECUSTOMERBILL.PRX";"0";"Prod";"Default"
"FINANCECUSTOMERBILL_ARRAYOFBRWHEADER";"WSCLIENT_WSFINANCECUSTOMERBILL.PRX";"0";"Prod";"Default"
"FINANCECUSTOMERBILL_ARRAYOFPAIDBILLVIEW";"WSCLIENT_WSFINANCECUSTOMERBILL.PRX";"0";"Prod";"Default"
"FINANCECUSTOMERBILL_ARRAYOFUSERFIELD";"WSCLIENT_WSFINANCECUSTOMERBILL.PRX";"0";"Prod";"Default"
"FINANCECUSTOMERBILL_BILLVIEW";"WSCLIENT_WSFINANCECUSTOMERBILL.PRX";"0";"Prod";"Default"
"FINANCECUSTOMERBILL_BRWHEADER";"WSCLIENT_WSFINANCECUSTOMERBILL.PRX";"0";"Prod";"Default"
"FINANCECUSTOMERBILL_PAIDBILLCOLLECTION";"WSCLIENT_WSFINANCECUSTOMERBILL.PRX";"0";"Prod";"Default"
"FINANCECUSTOMERBILL_PAIDBILLVIEW";"WSCLIENT_WSFINANCECUSTOMERBILL.PRX";"0";"Prod";"Default"
"FINANCECUSTOMERBILL_USERFIELD";"WSCLIENT_WSFINANCECUSTOMERBILL.PRX";"0";"Prod";"Default"
"FINANCECUSTOMERREGFORM";"WSADM020.PRX";"0";"Prod";"Default"
"FINANCECUSTOMERREGFORM_ARRAYOFBRWHEADER";"WSCLIENT_WSFINANCECUSTOMERREGFORM.PRX";"0";"Prod";"Default"
"FINANCECUSTOMERREGFORM_ARRAYOFUSERFIELD";"WSCLIENT_WSFINANCECUSTOMERREGFORM.PRX";"0";"Prod";"Default"
"FINANCECUSTOMERREGFORM_BRWHEADER";"WSCLIENT_WSFINANCECUSTOMERREGFORM.PRX";"0";"Prod";"Default"
"FINANCECUSTOMERREGFORM_REGFORMSTRUCT";"WSCLIENT_WSFINANCECUSTOMERREGFORM.PRX";"0";"Prod";"Default"
"FINANCECUSTOMERREGFORM_USERFIELD";"WSCLIENT_WSFINANCECUSTOMERREGFORM.PRX";"0";"Prod";"Default"
"FINANCEIRO.ARGO.U_JOBGRAVAARGO";"FINANCEIRO.ARGO.JOBGRAVAARGO.TLPP";"55";"NoAuth";"Custom"
"FINANCEIRO.ARGO.U_JOBPGTOPAARGO";"FINANCEIRO.ARGO.JOBPGTOPAARGO.TLPP";"55";"NoAuth";"Custom"
"FINANCEIRO.ARGO.U_RETORNATITULOPAGO";"FINANCEIRO.ARGO.RETORNATITULOPAGO.TLPP";"23";"NoAuth";"Custom"
"FINANCESELLERCUSTOMERREGFORM";"WSADM020.PRX";"0";"Prod";"Default"
"FINANCESELLERCUSTOMERREGFORM_ARRAYOFBRWHEADER";"WSCLIENT_WSFINANCESELLERCUSTOMERREGFORM.PRX";"0";"Prod";"Default"
"FINANCESELLERCUSTOMERREGFORM_ARRAYOFUSERFIELD";"WSCLIENT_WSFINANCESELLERCUSTOMERREGFORM.PRX";"0";"Prod";"Default"
"FINANCESELLERCUSTOMERREGFORM_BRWHEADER";"WSCLIENT_WSFINANCESELLERCUSTOMERREGFORM.PRX";"0";"Prod";"Default"
"FINANCESELLERCUSTOMERREGFORM_REGFORMSTRUCT";"WSCLIENT_WSFINANCESELLERCUSTOMERREGFORM.PRX";"0";"Prod";"Default"
"FINANCESELLERCUSTOMERREGFORM_USERFIELD";"WSCLIENT_WSFINANCESELLERCUSTOMERREGFORM.PRX";"0";"Prod";"Default"
"FISGETCLIENTE";"BACKOFFICE.FISCAL.API.CUSTOMER.TLPP";"14";"Prod";"Default"
"FISGETCLIENTEBYID";"BACKOFFICE.FISCAL.API.CUSTOMER.TLPP";"38";"Prod";"Default"
"FSCUSTOMERSERVICECALL_ARRAYOFBRWHEADER";"WSCLIENT_WSFSCUSTOMERSERVICECALL.PRX";"0";"Prod";"Default"
"FSCUSTOMERSERVICECALL_ARRAYOFSERVICECALLHEADERVIEW";"WSCLIENT_WSFSCUSTOMERSERVICECALL.PRX";"0";"Prod";"Default"
"FSCUSTOMERSERVICECALL_ARRAYOFSERVICECALLITEMVIEW";"WSCLIENT_WSFSCUSTOMERSERVICECALL.PRX";"0";"Prod";"Default"
"FSCUSTOMERSERVICECALL_ARRAYOFUSERFIELD";"WSCLIENT_WSFSCUSTOMERSERVICECALL.PRX";"0";"Prod";"Default"
"FSCUSTOMERSERVICECALL_BRWHEADER";"WSCLIENT_WSFSCUSTOMERSERVICECALL.PRX";"0";"Prod";"Default"
"FSCUSTOMERSERVICECALL_PHONEVIEW";"WSCLIENT_WSFSCUSTOMERSERVICECALL.PRX";"0";"Prod";"Default"
"FSCUSTOMERSERVICECALL_SERVICECALLHEADERVIEW";"WSCLIENT_WSFSCUSTOMERSERVICECALL.PRX";"0";"Prod";"Default"
"FSCUSTOMERSERVICECALL_SERVICECALLITEMVIEW";"WSCLIENT_WSFSCUSTOMERSERVICECALL.PRX";"0";"Prod";"Default"
"FSCUSTOMERSERVICECALL_SERVICECALLVIEW";"WSCLIENT_WSFSCUSTOMERSERVICECALL.PRX";"0";"Prod";"Default"
"FSCUSTOMERSERVICECALL_USERFIELD";"WSCLIENT_WSFSCUSTOMERSERVICECALL.PRX";"0";"Prod";"Default"
"FTCUSTOMERSALESSUMMARY";"WSFATX010.PRX";"0";"Prod";"Default"
"FTCUSTOMERSALESSUMMARY_ARRAYOFBRWHEADER";"WSCLIENT_WSFTCUSTOMERSALESSUMMARY.PRX";"0";"Prod";"Default"
"FTCUSTOMERSALESSUMMARY_ARRAYOFGENERICSTRUCT";"WSCLIENT_WSFTCUSTOMERSALESSUMMARY.PRX";"0";"Prod";"Default"
"FTCUSTOMERSALESSUMMARY_ARRAYOFPRODUCTSUMMARY";"WSCLIENT_WSFTCUSTOMERSALESSUMMARY.PRX";"0";"Prod";"Default"
"FTCUSTOMERSALESSUMMARY_BRWHEADER";"WSCLIENT_WSFTCUSTOMERSALESSUMMARY.PRX";"0";"Prod";"Default"
"FTCUSTOMERSALESSUMMARY_GENERICSTRUCT";"WSCLIENT_WSFTCUSTOMERSALESSUMMARY.PRX";"0";"Prod";"Default"
"FTCUSTOMERSALESSUMMARY_PRODUCTSUMMARY";"WSCLIENT_WSFTCUSTOMERSALESSUMMARY.PRX";"0";"Prod";"Default"
"FTCUSTOMERTASK";"WSFAT320.PRX";"0";"Prod";"Default"
"FTCUSTOMERTASK_ARRAYOFBRWHEADER";"WSCLIENT_WSFTCUSTOMERTASK.PRX";"0";"Prod";"Default"
"FTCUSTOMERTASK_ARRAYOFGENERICSTRUCT";"WSCLIENT_WSFTCUSTOMERTASK.PRX";"0";"Prod";"Default"
"FTCUSTOMERTASK_ARRAYOFTASKVIEW";"WSCLIENT_WSFTCUSTOMERTASK.PRX";"0";"Prod";"Default"
"FTCUSTOMERTASK_ARRAYOFUSERFIELD";"WSCLIENT_WSFTCUSTOMERTASK.PRX";"0";"Prod";"Default"
"FTCUSTOMERTASK_BRWHEADER";"WSCLIENT_WSFTCUSTOMERTASK.PRX";"0";"Prod";"Default"
"FTCUSTOMERTASK_GENERICSTRUCT";"WSCLIENT_WSFTCUSTOMERTASK.PRX";"0";"Prod";"Default"
"FTCUSTOMERTASK_TASKVIEW";"WSCLIENT_WSFTCUSTOMERTASK.PRX";"0";"Prod";"Default"
"FTCUSTOMERTASK_USERFIELD";"WSCLIENT_WSFTCUSTOMERTASK.PRX";"0";"Prod";"Default"
"FWCHGTXTTHEME";"FWTHEMECUSTOM.PRW";"143";"Prod";"Default"
"FWCMETINIT";"FWJOBCUSTOMMETRICS.TLPP";"13";"Prod";"Default"
"FWCUSTOMMETRICS";"FWCUSTOMMETRICS.TLPP";"0";"Prod";"Default"
"FWCUSTOMSEMAPHORE";"FWCUSTOMSEMAPHORE.PRW";"0";"Prod";"Default"
"FWISCUSTOM";"SNFXFUN.PRX";"1713";"Prod";"Default"
"FWMENUCUSTOMIZE";"FWMENUCUSTOMIZE.PRW";"27";"Prod";"Default"
"FWSENDCUSTOMMETRICS";"FWSENDCUSTOMMETRICS.TLPP";"14";"Prod";"Default"
"FWTMCUSTRESOURSE";"FWTHEMECUSTOM.PRW";"109";"Prod";"Default"
"GETALLFIELDS";"FWSMARTVIEWCUSTOMSERVICE.PRW";"370";"Prod";"Default"
"GETCUSTOMFIELDS";"FWSMARTVIEWCUSTOMSERVICE.PRW";"435";"Prod";"Default"
"GFIN.API.TABLES.CUSTOMIZE";"GFIN.TABLES.DATA.TLPP";"444";"Prod";"Default"
"INVENTORYCUSTOMERVIEW";"WSMATSTRUCT.PRX";"0";"Prod";"Default"
"ITENSCONTABILIZADOS";"RT34WS01.PRW";"0";"NoAuth";"Custom"
"JD_SUBMITDELIVERYRECEIPT_CUSTOMER";"OFIWJD01.PRW";"0";"Prod";"Default"
"JSONUTIL";"RT99WS02.PRW";"0";"NoAuth";"Custom"
"LIBOZMINERALS.U_ADDLOGS";"LIBOZMINERALS.UTILS.TLPP";"648";"NoAuth";"Custom"
"LIBOZMINERALS.U_CHECKENVIRONMENT";"LIBOZMINERALS.RUNJOB.TLPP";"862";"NoAuth";"Custom"
"LIBOZMINERALS.U_CHECKUSERINJOB";"LIBOZMINERALS.USERS.TLPP";"35";"NoAuth";"Custom"
"LIBOZMINERALS.U_CHECKUSERSTARTJOB";"LIBOZMINERALS.USERS.TLPP";"104";"NoAuth";"Custom"
"LIBOZMINERALS.U_EXISTALIASFIELD";"LIBOZMINERALS.UTILS.TLPP";"319";"NoAuth";"Custom"
"LIBOZMINERALS.U_FORMATMVPAR";"LIBOZMINERALS.UTILS.TLPP";"266";"NoAuth";"Custom"
"LIBOZMINERALS.U_GETDATAINIFILE";"LIBOZMINERALS.RUNJOB.TLPP";"699";"NoAuth";"Custom"
"LIBOZMINERALS.U_GETDEPTUSER";"LIBOZMINERALS.USERS.TLPP";"374";"NoAuth";"Custom"
"LIBOZMINERALS.U_GETERROR";"LIBOZMINERALS.UTILS.TLPP";"82";"NoAuth";"Custom"
"LIBOZMINERALS.U_GETERRORBLOCK";"LIBOZMINERALS.UTILS.TLPP";"203";"NoAuth";"Custom"
"LIBOZMINERALS.U_GETGROUPNAME";"LIBOZMINERALS.USERS.TLPP";"466";"NoAuth";"Custom"
